intent,Questions
64,Detailed information about the Computer Engineering department ?
64,WEB LINK for information about the Computer Engineering department 
64,where can i find more information about the Computer Engineering department 
64,information Of CE / COMPS DEPARTMENT
65,Detailed information about the First year Engineering department?
65,WEB LINK for information about the First year Engineering department
65,where can i find more information about the First year Engineering department
65,information Of FE 
66,Detailed information about the Electronics & Telecommunication department?
66,WEB LINK for information about the Electronics & Telecommunication department
66,where can i find more information about the Electronics & Telecommunication department
66,information Of EXTC DEPARTMENT
67, Detailed information about the Information Technology department?
67,WEB LINK for information about the Information Technology department
67,where can i find more information about the Information Technology department
67,information Of IT DEPARTMENT
68, Detailed information about the Printing and packaging  Technology department?
68,WEB LINK for information about the Printing and packaging  Technology department
68,where can i find more information about the Printing and packaging  Technology department
68,information Of PPT DEPARTMENT
69,Detailed information about the Mechanical Engineering department ?
69,WEB LINK for  information about the Mechanical Engineering department
69,where can i find more information about the Mechanical Engineering department
69,information Of ME / MECH DEPARTMENT
70,who is the principal of SIESGST?
70,What is the name of the principal
70,Details about principal
70,pricipal siesgst
71,How to take admission in first year ?
71,Detailed / new information about First-year admissions?
71,First-year admissions
71,detailed information for  First-year admissions
71,weblink for First-year admissions information 
72,Detailed / new information about Direct Second-year admissions?
72,Direct Second-year admissions
72,How to take admission after diploma ?
72,How to take admission in second year directly ?
72,web link for information for Direct Second-year admissions
